feature,mutual_information
contract_month-to-month,0.09165708535825622
tenure,0.08573707607363334
contract_two_year,0.060289026967292145
internet_service_fiber_optic,0.047645961231676304
monthly_charges,0.047241916601309164
payment_method_electronic_check,0.04379964028559974
total_charges,0.04269674780858468
internet_service_no,0.03127431929413758
paperless_billing,0.019119265234473853
contract_one_year,0.018145005418742102
online_security,0.01589112960835387
tech_support,0.014614479452707288
dependents,0.014270326012253198
partner,0.011383147791626885
senior_citizen,0.01053262470911398
payment_method_credit_card_(automatic),0.009890453491108786
internet_service_dsl,0.00799854995494148
payment_method_bank_transfer_(automatic),0.007498183070016234
payment_method_mailed_check,0.004329401603001867
online_backup,0.003464292134185476
device_protection,0.0022296709909818413
streaming_tv,0.001982588256983414
streaming_movies,0.0018365291771000325
multiple_lines,0.0007982150596959059
phone_service,6.914412223160693e-05
gender_female,3.6504338027820715e-05
gender_male,3.6504338027820715e-05
